source_head,source_site,receiver_kind,channel,tested,retained,max_absolute_mean,max_mean_absolute
L17H3,colon,head,KV,17,0,0.0217170715332031,0.0217170715332031
L17H3,colon,head,Q,17,2,0.1694700002670288,0.1694700002670288
L17H3,colon,mlp,,2,0,0.0237529754638671,0.0285778045654296
L17H3,earlier_remaining,head,K,17,0,0.0307950019836425,0.0402653694152832
L17H3,earlier_remaining,head,V,17,0,0.0205007553100585,0.0211721420288085
L17H3,earlier_remaining,mlp,,2,0,0.0025606155395507,0.0152057647705078
L17H3,nonquery_mother,head,K,17,0,0.006315803527832,0.0139080047607421
L17H3,nonquery_mother,head,V,17,0,0.0026069641113281,0.0040206909179687
L17H3,nonquery_mother,mlp,,2,0,0.0099607467651367,0.014247703552246
L18H18,colon,bypass,,1,1,0.5525907516479492,0.5525907516479492
L18H18,colon,head,KV,14,2,0.3243546724319458,0.3243546724319458
L18H18,colon,head,Q,14,6,0.6225450515747071,0.6225450515747071
L18H18,colon,mlp,,2,2,0.470072603225708,0.4704491138458252
L18H19,colon,bypass,,1,1,0.7755182266235352,0.7755182266235352
L18H19,colon,head,KV,14,2,0.4265214323997497,0.4265214323997497
L18H19,colon,head,Q,14,7,0.7170675277709961,0.719602394104004
L18H19,colon,mlp,,2,2,0.5913229942321777,0.5913229942321777
L19H16,colon,bypass,,1,1,0.1502001762390136,0.1502001762390136
L19H16,colon,head,KV,12,1,0.1359075784683227,0.1359075784683227
L19H16,colon,head,Q,12,2,0.1445466995239258,0.1445466995239258
L19H16,colon,mlp,,2,0,0.0950288772583007,0.0950288772583007
L20H1,colon,bypass,,1,1,0.3624635696411132,0.3624635696411132
L20H1,colon,head,KV,11,2,0.2587186813354492,0.2587186813354492
L20H1,colon,head,Q,11,2,0.209564208984375,0.2138412475585937
L20H1,colon,mlp,,2,0,0.016832160949707,0.038887596130371
L23H15,colon,bypass,,1,0,0.0714503288269043,0.0928107261657714
L23H15,colon,head,KV,6,0,0.0558457374572753,0.0558457374572753
L23H15,colon,head,Q,6,2,0.2150549888610839,0.2150549888610839
L23H15,colon,mlp,,2,0,0.0110746383666992,0.0252181529998779
L24H19,colon,bypass,,1,1,0.1858796119689941,0.1858796119689941
L24H19,colon,head,KV,5,0,0.0596498489379882,0.0596498489379882
L24H19,colon,head,Q,5,0,0.0926273345947265,0.0930011749267578
L24H19,colon,mlp,,2,0,0.0210651397705078,0.0300662994384765
L25H17,colon,bypass,,1,1,0.2236544609069824,0.2236544609069824
L25H17,colon,head,KV,4,0,0.0303136825561523,0.0303136825561523
L25H17,colon,head,Q,4,2,0.3110402345657349,0.3137013673782348
L25H17,colon,mlp,,2,0,0.0268049240112304,0.0468736886978149
