head,id,family,order,variant,j,site,self_event,argmax,argmax_anchor,attended_name,attended_role,attended_fact_query,attended_is_answer,dominance,qk_pass,attended_roles,contrast_first_all,others_first_all,collisions_first_all,contrast_first_same_role,others_first_same_role,collisions_first_same_role,contrast_last_all,others_last_all,collisions_last_all,contrast_last_same_role,others_last_same_role,collisions_last_same_role
L2H21,000/direct/base/0/order0,0,0,base,242,earlier,False,241,first,Jarlia,source,True,False,3.563108444213867,True,source;target,-0.006954193115234375,2,0,-0.013580322265625,1,0,-0.011694908142089844,2,0,-0.015987396240234375,1,0
L2H21,000/direct/base/0/order0,0,0,base,247,earlier,False,245,middle,Kulnra,target,False,False,3.8482096195220947,False,target,5.0862630208335646e-05,3,0,-0.00250244140625,2,0,-0.04788462320963542,3,0,-0.029651641845703125,2,0
L2H21,000/direct/base/0/order0,0,0,base,253,earlier,False,252,first,Tilnia,source,False,False,1.0618151426315308,False,source,0.0019846782088279724,4,0,0.005220577120780945,2,0,0.00237882137298584,4,0,-0.00370025634765625,2,0
L2H21,000/direct/base/0/order0,0,0,base,264,earlier,False,262,first,Kulnra,source,False,False,2.077040672302246,False,source;target,0.0093505859375,5,0,0.013580322265625,3,0,-0.026479053497314452,5,0,-0.025714397430419922,3,0
L2H21,000/direct/base/0/order0,0,0,base,265,earlier,False,256,middle,Dirlna,target,False,False,1.0210520029067993,False,target,0.004473400115966797,5,0,0.002676804860432943,3,0,-0.000335693359375,5,0,0.005265553792317708,3,0
L2H21,000/direct/base/0/order0,0,0,base,267,earlier,False,255,first,Dirlna,target,False,False,1.1504396200180054,False,target,-0.0019994735717773437,5,0,-0.0034926732381184893,3,0,-0.0050261497497558595,5,0,-0.0012087821960449219,3,0
L2H21,000/direct/base/0/order0,0,0,base,277,final,False,255,first,Dirlna,target,False,False,1.9984524250030518,False,target,-0.0014528274536132813,5,0,-0.0024639765421549478,3,0,-0.005321121215820313,5,0,-0.0017668406168619792,3,0
L4H0,000/direct/base/0/order0,0,0,base,247,earlier,True,247,last,Kulnra,target,False,False,2.511962652206421,False,target,0.0201568603515625,3,0,0.02044677734375,2,0,-0.029082377751668293,3,0,-0.03419363498687744,2,0
L4H0,000/direct/base/0/order0,0,0,base,264,earlier,True,264,last,Kulnra,source,False,False,1.272172451019287,False,source;target,-0.0013458251953124972,5,0,0.0013682047526041644,3,0,-0.0105255126953125,5,0,-0.002123514811197918,3,0
L6H12,000/direct/base/0/order0,0,0,base,242,earlier,False,241,first,Jarlia,source,True,False,1.8556616306304932,False,source;target,0.015655517578125,2,0,0.0167388916015625,1,0,-0.0121307373046875,2,0,-0.0075225830078125,1,0
L6H12,000/direct/base/0/order0,0,0,base,247,earlier,False,244,first,Kulnra,target,False,False,2.6765918731689453,False,target,-0.01240682601928711,3,0,-0.019205331802368164,2,0,-0.006917635599772135,3,0,0.0007071495056152344,2,0
L6H12,000/direct/base/0/order0,0,0,base,264,earlier,False,262,first,Kulnra,source,False,False,1.1300722360610962,False,source;target,0.006115722656249999,5,0,0.007692972819010418,3,0,0.018028450012207032,5,0,0.01650714874267578,3,0
L7H18,000/direct/base/0/order0,0,0,base,234,earlier,False,225,first,Jarlia,target,False,False,3.341489315032959,False,target,0.0099945068359375,1,0,,0,0,-0.043243408203125,1,0,,0,0
L7H18,000/direct/base/0/order0,0,0,base,235,earlier,False,225,first,Jarlia,target,False,False,1.3367301225662231,False,target,-0.022724151611328125,1,0,,0,0,-0.018695831298828125,1,0,,0,0
L7H18,000/direct/base/0/order0,0,0,base,236,earlier,False,226,last,Jarlia,target,False,False,1.914186954498291,False,target,0.0014939308166503906,2,0,0.01245880126953125,1,0,0.021223068237304688,2,0,0.015062332153320312,1,0
L7H18,000/direct/base/0/order0,0,0,base,241,earlier,False,225,first,Jarlia,target,False,False,5.231327056884766,False,target,0.025501251220703125,2,0,0.0414276123046875,1,0,0.005869865417480469,2,0,0.0394439697265625,1,0
L7H18,000/direct/base/0/order0,0,0,base,242,earlier,False,226,last,Jarlia,target,False,False,5.379604339599609,False,source;target,0.01602935791015625,2,0,0.0171051025390625,1,0,0.042812347412109375,2,0,0.02895355224609375,1,0
L7H18,000/direct/base/0/order0,0,0,base,244,earlier,False,231,first,Kernna,source,False,False,5.8676066398620605,True,source,0.06346511840820312,2,0,0.04917144775390625,1,0,0.079498291015625,2,0,0.069244384765625,1,0
L7H18,000/direct/base/0/order0,0,0,base,246,earlier,False,231,first,Kernna,source,False,False,1.0569794178009033,False,source,0.03683948516845703,2,0,0.019250869750976562,1,0,0.003753662109375,2,0,-0.00341796875,1,0
L7H18,000/direct/base/0/order0,0,0,base,247,earlier,False,234,first,Rarnia,target,True,True,1.7536392211914062,False,target,-0.022512435913085938,3,0,-0.019501686096191406,2,0,-0.019163767496744793,3,0,-0.01425933837890625,2,0
L7H18,000/direct/base/0/order0,0,0,base,252,earlier,False,231,first,Kernna,source,False,False,1.313772201538086,False,source,0.028696695963541664,3,0,0.0112152099609375,1,0,0.022571563720703125,3,0,0.033992767333984375,1,0
L7H18,000/direct/base/0/order0,0,0,base,253,earlier,False,232,last,Kernna,source,False,False,1.8734450340270996,False,source,0.036869049072265625,4,0,0.05087471008300781,2,0,-0.0062103271484375,4,0,0.002040863037109375,2,0
L7H18,000/direct/base/0/order0,0,0,base,255,earlier,False,231,first,Kernna,source,False,False,1.1406316757202148,False,source,0.01706409454345703,4,0,0.00970458984375,2,0,0.019451141357421875,4,0,0.0236053466796875,2,0
L7H18,000/direct/base/0/order0,0,0,base,256,earlier,False,231,first,Kernna,source,False,False,2.570183515548706,True,source,0.04723489284515381,4,0,0.04081988334655762,2,0,0.02654266357421875,4,0,0.03607940673828125,2,0
L7H18,000/direct/base/0/order0,0,0,base,257,earlier,False,232,last,Kernna,source,False,False,2.789205551147461,True,source,0.0280364990234375,5,0,0.03697967529296875,2,0,0.007362747192382814,5,0,0.01070404052734375,2,0
L7H18,000/direct/base/0/order0,0,0,base,262,earlier,False,245,middle,Kulnra,target,False,False,2.5979864597320557,False,target,-0.0855499267578125,5,0,-0.08465576171875,3,0,0.0025230407714843753,5,0,0.029177347819010414,3,0
L7H18,000/direct/base/0/order0,0,0,base,263,earlier,False,246,middle,Kulnra,target,False,False,7.775495529174805,False,target,-0.0448486328125,5,0,-0.049102783203125,3,0,-0.026129150390625,5,0,-0.024347941080729168,3,0
L7H18,000/direct/base/0/order0,0,0,base,264,earlier,False,247,last,Kulnra,target,False,False,22.137401580810547,False,source;target,0.007691574096679685,5,0,-0.0071392059326171875,3,0,-0.023590087890625,5,0,-0.026163736979166664,3,0
L7H18,000/direct/base/0/order0,0,0,base,273,earlier,False,241,first,Jarlia,source,True,False,4.434852123260498,True,source;target,0.0779810905456543,5,0,0.07349061965942383,3,0,-0.071282958984375,5,0,-0.07334136962890625,3,0
L7H18,000/direct/base/0/order0,0,0,base,274,earlier,False,242,last,Jarlia,source,True,False,1.19865083694458,False,source;target,0.07751712799072266,5,0,0.08190313975016277,3,0,-0.0035156250000000014,5,0,0.00689697265625,3,0
L8H15,000/direct/base/0/order0,0,0,base,226,earlier,False,225,first,Jarlia,target,False,False,3.5117592811584473,False,target,,0,0,,0,0,,0,0,,0,0
L8H15,000/direct/base/0/order0,0,0,base,227,earlier,False,226,last,Jarlia,target,False,False,3.3101980686187744,False,target,,0,0,,0,0,,0,0,,0,0
L8H15,000/direct/base/0/order0,0,0,base,232,earlier,False,231,first,Kernna,source,False,False,2.5966670513153076,True,source,0.046260833740234375,1,0,,0,0,-0.07941055297851562,1,0,,0,0
L8H15,000/direct/base/0/order0,0,0,base,233,earlier,False,232,last,Kernna,source,False,False,1.7534037828445435,False,source,0.0533294677734375,1,0,,0,0,-0.0839700698852539,1,0,,0,0
L8H15,000/direct/base/0/order0,0,0,base,236,earlier,False,235,middle,Rarnia,target,True,True,3.345897912979126,False,target,-0.027782440185546875,2,0,0.0037326812744140625,1,0,-0.04155731201171875,2,0,-0.05371856689453125,1,0
L8H15,000/direct/base/0/order0,0,0,base,237,earlier,False,236,last,Rarnia,target,True,True,2.3393139839172363,False,target,0.0144195556640625,2,0,0.03765869140625,1,0,-0.06441307067871094,2,0,-0.10679435729980469,1,0
L8H15,000/direct/base/0/order0,0,0,base,242,earlier,True,242,last,Jarlia,source,True,False,1.1024919748306274,False,source;target,0.0177001953125,2,0,0.043701171875,1,0,0.1130523681640625,2,0,0.1435546875,1,0
L8H15,000/direct/base/0/order0,0,0,base,247,earlier,False,246,middle,Kulnra,target,False,False,1.643723964691162,False,target,-0.02452850341796875,3,0,-0.034587860107421875,2,0,-0.1187582015991211,3,0,-0.1435990333557129,2,0
L8H15,000/direct/base/0/order0,0,0,base,248,earlier,False,247,last,Kulnra,target,False,False,2.7036755084991455,False,target,-0.03212674458821614,3,0,-0.05453681945800781,2,0,-0.18217913309733075,3,0,-0.1917257308959961,2,0
L8H15,000/direct/base/0/order0,0,0,base,252,earlier,False,247,last,Kulnra,target,False,False,1.0766127109527588,False,target,0.0019404093424479178,3,0,-0.012020111083984375,2,0,-0.07755343119303386,3,0,-0.08860397338867188,2,0
L8H15,000/direct/base/0/order0,0,0,base,253,earlier,True,253,last,Tilnia,source,False,False,1.028571605682373,False,source,-0.04503822326660156,4,0,-0.030460357666015625,2,0,0.0056915283203125,4,0,-0.025360107421875,2,0
L8H15,000/direct/base/0/order0,0,0,base,254,earlier,False,253,last,Tilnia,source,False,False,2.6488847732543945,True,source,-0.025074005126953125,4,0,-0.00634765625,2,0,0.02758026123046875,4,0,-0.0098724365234375,2,0
L8H15,000/direct/base/0/order0,0,0,base,257,earlier,False,256,middle,Dirlna,target,False,False,2.6495938301086426,False,target,-0.07151870727539063,5,0,-0.06870142618815103,3,0,-0.042620849609375,5,0,-0.06699371337890625,3,0
L8H15,000/direct/base/0/order0,0,0,base,258,earlier,False,257,last,Dirlna,target,False,False,1.906615138053894,False,target,-0.047442626953125,5,0,-0.04058837890625,3,0,-0.022357177734375,5,0,-0.04224650065104167,3,0
L8H15,000/direct/base/0/order0,0,0,base,264,earlier,False,262,first,Kulnra,source,False,False,1.113458514213562,False,source;target,-0.025049591064453126,5,0,-0.037771860758463546,3,0,-0.09268798828125,5,0,-0.107177734375,3,0
L9H16,000/direct/base/0/order0,0,0,base,241,earlier,False,225,first,Jarlia,target,False,False,12.792750358581543,False,target,0.09864425659179688,2,0,0.10650634765625,1,0,0.12339973449707031,2,0,0.1140899658203125,1,0
L9H16,000/direct/base/0/order0,0,0,base,242,earlier,False,226,last,Jarlia,target,False,False,1.9171913862228394,False,source;target,0.12832069396972656,2,0,0.11714553833007812,1,0,0.12652206420898438,2,0,0.152587890625,1,0
L9H16,000/direct/base/0/order0,0,0,base,247,earlier,False,231,first,Kernna,source,False,False,1.6498342752456665,False,source,0.02572886149088542,3,0,-0.019805908203125,1,0,-0.05644734700520833,3,0,-0.09564208984375,1,0
L9H16,000/direct/base/0/order0,0,0,base,262,earlier,False,245,middle,Kulnra,target,False,False,20.45516014099121,False,target,-0.023870849609374994,5,0,-0.019220987955729164,3,0,0.06319580078125,5,0,0.006754557291666671,3,0
L9H16,000/direct/base/0/order0,0,0,base,263,earlier,False,246,middle,Kulnra,target,False,False,10.562271118164062,False,target,-0.0198822021484375,5,0,-0.0245513916015625,3,0,0.0369293212890625,5,0,0.007494608561197914,3,0
L9H16,000/direct/base/0/order0,0,0,base,264,earlier,False,247,last,Kulnra,target,False,False,2.4761898517608643,False,source;target,-0.02440910339355469,5,0,-0.032190958658854164,3,0,0.07756805419921875,5,0,0.0680084228515625,3,0
L9H16,000/direct/base/0/order0,0,0,base,273,earlier,False,225,first,Jarlia,target,False,False,1.8787462711334229,False,source;target,0.07988128662109376,5,0,0.0862579345703125,3,0,0.09213333129882813,5,0,0.09329986572265625,3,0
L9H16,000/direct/base/0/order0,0,0,base,274,earlier,False,242,last,Jarlia,source,True,False,1.5711442232131958,False,source;target,0.111004638671875,5,0,0.11591847737630208,3,0,0.07550430297851562,5,0,0.051981608072916664,3,0
L11H3,000/direct/base/0/order0,0,0,base,233,earlier,False,232,last,Kernna,source,False,False,1.2010666131973267,False,source,0.0010986328125,1,0,,0,0,-0.0242462158203125,1,0,,0,0
L11H3,000/direct/base/0/order0,0,0,base,248,earlier,False,245,middle,Kulnra,target,False,False,1.3140020370483398,False,target,-0.034731547037760414,3,0,-0.027141571044921875,2,0,-0.020092010498046875,3,0,-0.017993927001953125,2,0
L11H3,000/direct/base/0/order0,0,0,base,251,earlier,False,244,first,Kulnra,target,False,False,1.3430304527282715,False,target,-0.022194862365722656,3,0,-0.015077590942382812,2,0,-0.015789349873860676,3,0,-0.0162353515625,2,0
L11H3,000/direct/base/0/order0,0,0,base,253,earlier,False,252,first,Tilnia,source,False,False,1.140740990638733,False,source,-0.015035629272460938,4,0,-0.027050018310546875,2,0,0.04511833190917969,4,0,0.015285491943359375,2,0
L11H3,000/direct/base/0/order0,0,0,base,254,earlier,False,252,first,Tilnia,source,False,False,1.5656189918518066,False,source,-0.026279449462890625,4,0,-0.04370880126953125,2,0,0.05648040771484375,4,0,0.0169830322265625,2,0
L11H3,000/direct/base/0/order0,0,0,base,258,earlier,False,256,middle,Dirlna,target,False,False,2.3675777912139893,False,target,-0.0027069091796875014,5,0,0.0052337646484375,3,0,-0.006083679199218747,5,0,0.01519012451171875,3,0
L11H3,000/direct/base/0/order0,0,0,base,260,earlier,False,257,last,Dirlna,target,False,False,1.4403645992279053,False,target,-0.011248779296874997,5,0,-0.0013631184895833356,3,0,0.004983520507812499,5,0,0.028254191080729168,3,0
L11H3,000/direct/base/0/order0,0,0,base,265,earlier,False,257,last,Dirlna,target,False,False,1.126722812652588,False,target,0.022308349609375,5,0,0.042032877604166664,3,0,-0.0021266937255859375,5,0,0.02764447530110677,3,0
L11H15,000/direct/base/0/order0,0,0,base,232,earlier,True,232,last,Kernna,source,False,False,1.5430670976638794,False,source,-0.0554962158203125,1,0,,0,0,-0.0044097900390625,1,0,,0,0
L11H15,000/direct/base/0/order0,0,0,base,242,earlier,True,242,last,Jarlia,source,True,False,9.42111587524414,True,source;target,-0.02214813232421875,2,0,0.0013580322265625,1,0,-0.00870513916015625,2,0,0.0219268798828125,1,0
L11H15,000/direct/base/0/order0,0,0,base,247,earlier,True,247,last,Kulnra,target,False,False,1.3851903676986694,False,target,0.030690511067708336,3,0,0.01625823974609375,2,0,0.006657918294270834,3,0,-0.0120391845703125,2,0
L11H15,000/direct/base/0/order0,0,0,base,253,earlier,True,253,last,Tilnia,source,False,False,2.9434804916381836,True,source,0.037384986877441406,4,0,0.05550956726074219,2,0,-0.001346588134765625,4,0,0.00759124755859375,2,0
L11H15,000/direct/base/0/order0,0,0,base,257,earlier,True,257,last,Dirlna,target,False,False,2.799738883972168,False,target,-0.020933914184570312,5,0,-0.03181266784667969,3,0,-0.01336669921875,5,0,-0.020083109537760418,3,0
L11H15,000/direct/base/0/order0,0,0,base,264,earlier,True,264,last,Kulnra,source,False,False,12.296419143676758,True,source;target,0.033736038208007815,5,0,0.035052617390950516,3,0,-0.020734405517578124,5,0,-0.015106201171875,3,0
L12H2,000/direct/base/0/order0,0,0,base,263,earlier,False,241,first,Jarlia,source,True,False,1.622853398323059,False,source;target,-0.012424468994140625,5,0,-0.024515151977539062,2,0,0.002410888671875,5,0,0.00531005859375,2,0
L12H2,000/direct/base/0/order0,0,0,base,264,earlier,False,242,last,Jarlia,source,True,False,1.524344563484192,False,source;target,-0.002806854248046875,5,0,-0.0017865498860677085,3,0,0.0147430419921875,5,0,0.021633148193359375,3,0
L12H2,000/direct/base/0/order0,0,0,base,274,earlier,False,264,last,Kulnra,source,False,False,1.872501015663147,False,source;target,0.01055755615234375,5,0,-0.0019810994466145835,3,0,0.0239044189453125,5,0,0.0367584228515625,3,0
L13H1,000/direct/base/0/order0,0,0,base,252,earlier,False,247,last,Kulnra,target,False,False,2.0322020053863525,False,target,0.028414408365885418,3,0,0.02333831787109375,2,0,0.03172111511230469,3,0,0.04321002960205078,2,0
L14H26,000/direct/base/0/order0,0,0,base,229,earlier,False,226,last,Jarlia,target,False,False,1.2774372100830078,False,target,,0,0,,0,0,,0,0,,0,0
L14H26,000/direct/base/0/order0,0,0,base,230,earlier,False,226,last,Jarlia,target,False,False,1.1158040761947632,False,target,,0,0,,0,0,,0,0,,0,0
L14H26,000/direct/base/0/order0,0,0,base,237,earlier,False,235,middle,Rarnia,target,True,True,1.1036587953567505,False,target,0.034628868103027344,2,0,0.02020263671875,1,0,-0.01214599609375,2,0,-0.05374908447265625,1,0
L14H26,000/direct/base/0/order0,0,0,base,242,earlier,False,241,first,Jarlia,source,True,False,1.0888665914535522,False,source;target,0.000942230224609375,2,0,0.02208709716796875,1,0,0.05031108856201172,2,0,0.036163330078125,1,0
L14H26,000/direct/base/0/order0,0,0,base,248,earlier,False,247,last,Kulnra,target,False,False,2.8966991901397705,False,target,-0.027864456176757812,3,0,-0.03030681610107422,2,0,0.023804982503255207,3,0,0.007991790771484375,2,0
L14H26,000/direct/base/0/order0,0,0,base,250,earlier,False,247,last,Kulnra,target,False,False,2.9246742725372314,False,target,-0.027008692423502605,3,0,-0.032135963439941406,2,0,0.03191439310709636,3,0,0.012822151184082031,2,0
L14H26,000/direct/base/0/order0,0,0,base,251,earlier,False,247,last,Kulnra,target,False,False,3.5740668773651123,False,target,-0.02405993143717448,3,0,-0.02838420867919922,2,0,0.027735392252604168,3,0,0.01181793212890625,2,0
L14H26,000/direct/base/0/order0,0,0,base,253,earlier,False,252,first,Tilnia,source,False,False,1.9618618488311768,False,source,0.007973670959472656,4,0,0.0001544952392578125,2,0,-0.03378009796142578,4,0,-0.04394340515136719,2,0
L14H26,000/direct/base/0/order0,0,0,base,254,earlier,False,247,last,Kulnra,target,False,False,1.0459576845169067,False,target,-0.03399181365966797,4,0,-0.027861595153808594,2,0,0.019971847534179688,4,0,-0.014949798583984375,2,0
L14H26,000/direct/base/0/order0,0,0,base,264,earlier,False,262,first,Kulnra,source,False,False,1.0447931289672852,False,source;target,-0.005472373962402341,5,0,-0.0011148452758789062,3,0,0.0026947021484375003,5,0,-0.004116058349609375,3,0
L15H3,000/direct/base/0/order0,0,0,base,241,earlier,False,226,last,Jarlia,target,False,False,1.5135599374771118,False,target,0.047210693359375,2,0,0.022552490234375,1,0,-0.0440826416015625,2,0,-0.04510498046875,1,0
L15H3,000/direct/base/0/order0,0,0,base,253,earlier,True,253,last,Tilnia,source,False,False,1.0855803489685059,False,source,-0.04696083068847656,4,0,-0.038814544677734375,2,0,0.0549163818359375,4,0,0.065643310546875,2,0
L15H3,000/direct/base/0/order0,0,0,base,262,earlier,False,245,middle,Kulnra,target,False,False,1.6030782461166382,False,target,0.037634277343749994,5,0,0.008565266927083336,3,0,-0.01380157470703125,5,0,-0.008550008138020836,3,0
L15H3,000/direct/base/0/order0,0,0,base,263,earlier,False,246,middle,Kulnra,target,False,False,1.1555606126785278,False,target,0.037298583984374994,5,0,0.009002685546875,3,0,-0.007335758209228514,5,0,-0.0007171630859375,3,0
L15H3,000/direct/base/0/order0,0,0,base,273,earlier,False,226,last,Jarlia,target,False,False,1.4524134397506714,False,source;target,0.009371948242187497,5,0,-0.0067596435546875,3,0,-0.0315582275390625,5,0,-0.030705769856770836,3,0
L16H1,000/direct/base/0/order0,0,0,base,241,earlier,False,226,last,Jarlia,target,False,False,1.926012635231018,False,target,0.0866851806640625,2,0,0.12066650390625,1,0,0.0085906982421875,2,0,0.0670166015625,1,0
L16H1,000/direct/base/0/order0,0,0,base,262,earlier,False,247,last,Kulnra,target,False,False,1.1294909715652466,False,target,0.027985763549804688,5,0,0.026748021443684895,3,0,-0.012254333496093749,5,0,-0.010531107584635414,3,0
L16H1,000/direct/base/0/order0,0,0,base,263,earlier,False,253,last,Tilnia,source,False,False,1.9663310050964355,False,source,0.006947040557861328,5,0,0.0028069019317626953,2,0,0.004949188232421874,5,0,-0.009935379028320312,2,0
L16H1,000/direct/base/0/order0,0,0,base,277,final,False,242,last,Jarlia,source,True,False,2.04191517829895,False,source;target,0.08793716430664063,5,0,0.08386866251627603,3,0,-0.02659759521484375,5,0,-0.0352783203125,3,0
L16H16,000/direct/base/0/order0,0,0,base,237,earlier,False,226,last,Jarlia,target,False,False,2.090906858444214,False,target,0.013397216796875,2,0,0.0067958831787109375,1,0,0.06201934814453125,2,0,0.0636138916015625,1,0
L16H16,000/direct/base/0/order0,0,0,base,240,earlier,False,226,last,Jarlia,target,False,False,2.3633298873901367,False,target,0.0054721832275390625,2,0,0.0060291290283203125,1,0,0.03985595703125,2,0,0.040130615234375,1,0
L16H16,000/direct/base/0/order0,0,0,base,248,earlier,False,232,last,Kernna,source,False,False,1.6536775827407837,False,source,0.009421348571777344,3,0,-0.0016050338745117188,1,0,-0.011088053385416668,3,0,-0.0222320556640625,1,0
L16H16,000/direct/base/0/order0,0,0,base,250,earlier,False,232,last,Kernna,source,False,False,2.8742146492004395,True,source,0.004423777262369793,3,0,-0.006595611572265625,1,0,-0.012056986490885418,3,0,-0.02227783203125,1,0
L16H16,000/direct/base/0/order0,0,0,base,251,earlier,False,232,last,Kernna,source,False,False,1.0695956945419312,False,source,0.013623555501302082,3,0,0.00350189208984375,1,0,-0.009792327880859375,3,0,-0.012847900390625,1,0
L16H16,000/direct/base/0/order0,0,0,base,254,earlier,False,247,last,Kulnra,target,False,False,2.398193597793579,False,target,-0.03621792793273926,4,0,-0.034883975982666016,2,0,0.0078029632568359375,4,0,0.022403717041015625,2,0
L16H16,000/direct/base/0/order0,0,0,base,268,earlier,False,264,last,Kulnra,source,False,False,2.0311148166656494,False,source;target,-0.0019683837890625,5,0,-0.00147247314453125,3,0,0.01627655029296875,5,0,-0.003992716471354166,3,0
L16H16,000/direct/base/0/order0,0,0,base,269,earlier,False,264,last,Kulnra,source,False,False,2.432650327682495,True,source;target,0.0009433746337890632,5,0,0.00313568115234375,3,0,0.02071666717529297,5,0,0.0017906824747721353,3,0
L16H16,000/direct/base/0/order0,0,0,base,270,earlier,False,264,last,Kulnra,source,False,False,1.6128963232040405,False,source;target,-0.00467681884765625,5,0,-0.00284576416015625,3,0,0.018310546875,5,0,-0.001836140950520833,3,0
L16H16,000/direct/base/0/order0,0,0,base,271,earlier,False,264,last,Kulnra,source,False,False,4.9313201904296875,True,source;target,0.009619140625000001,5,0,0.014185587565104164,3,0,0.0243896484375,5,0,0.002939860026041668,3,0
L17H5,000/direct/base/0/order0,0,0,base,230,earlier,False,225,first,Jarlia,target,False,False,1.4271869659423828,False,target,,0,0,,0,0,,0,0,,0,0
L17H5,000/direct/base/0/order0,0,0,base,233,earlier,False,225,first,Jarlia,target,False,False,3.6153981685638428,False,target,0.06640625,1,0,,0,0,0.006805419921875,1,0,,0,0
L17H5,000/direct/base/0/order0,0,0,base,234,earlier,False,225,first,Jarlia,target,False,False,1.146059513092041,False,target,0.029571533203125,1,0,,0,0,0.01153564453125,1,0,,0,0
L17H5,000/direct/base/0/order0,0,0,base,240,earlier,False,231,first,Kernna,source,False,False,1.0325870513916016,False,source,-0.05398750305175781,2,0,,0,0,-0.078704833984375,2,0,,0,0
L17H5,000/direct/base/0/order0,0,0,base,243,earlier,False,235,middle,Rarnia,target,True,True,1.1309223175048828,False,target,-0.032848358154296875,2,0,-0.07955169677734375,1,0,0.120513916015625,2,0,0.14093017578125,1,0
L17H5,000/direct/base/0/order0,0,0,base,244,earlier,False,235,middle,Rarnia,target,True,True,1.2950763702392578,False,target,-0.02641773223876953,2,0,-0.04441261291503906,1,0,0.07303667068481445,2,0,0.0820465087890625,1,0
L17H5,000/direct/base/0/order0,0,0,base,246,earlier,False,236,last,Rarnia,target,True,True,1.4998120069503784,False,target,0.01854562759399414,2,0,-0.0027856826782226562,1,0,0.03426933288574219,2,0,0.019634246826171875,1,0
L17H5,000/direct/base/0/order0,0,0,base,250,earlier,False,242,last,Jarlia,source,True,False,1.021339774131775,False,source;target,-0.001622517903645834,3,0,0.0280303955078125,1,0,-0.016543070475260418,3,0,0.02707672119140625,1,0
L17H5,000/direct/base/0/order0,0,0,base,251,earlier,False,241,first,Jarlia,source,True,False,1.37166166305542,False,source;target,0.024396260579427086,3,0,0.09832763671875,1,0,-0.018320719401041664,3,0,0.057159423828125,1,0
L17H5,000/direct/base/0/order0,0,0,base,254,earlier,False,244,first,Kulnra,target,False,False,1.1259944438934326,False,target,0.04570651054382324,4,0,0.062055110931396484,2,0,0.050580382347106934,4,0,0.02045440673828125,2,0
L17H5,000/direct/base/0/order0,0,0,base,261,earlier,False,252,first,Tilnia,source,False,False,8.224952697753906,True,source,0.08543281555175782,5,0,0.1113128662109375,2,0,0.0316070556640625,5,0,0.0886383056640625,2,0
L18H19,000/direct/base/0/order0,0,0,base,241,earlier,False,226,last,Jarlia,target,False,False,1.1863086223602295,False,target,0.2496490478515625,2,0,0.219879150390625,1,0,0.0583953857421875,2,0,0.0578765869140625,1,0
